case_id,xai_method,perturbation_percentile,original_logit,original_prob,deletion_logit,deletion_prob,deletion_prob_drop,deletion_logit_drop,insertion_logit,insertion_prob,insertion_prob_retained
topaneu_center1_mr_148,integrated_gradients,5,0.6291,0.6523,-0.6596,0.3408,0.3115,1.2887,0.451,0.6109,0.6109
topaneu_center1_mr_148,integrated_gradients,10,0.6291,0.6523,-1.0505,0.2591,0.3932,1.6797,-0.4115,0.3986,0.3986
topaneu_center1_mr_148,random_control,1,0.6291,0.6523,0.477,0.617,0.0353,0.1522,-1.4684,0.1872,0.1872
topaneu_center1_mr_148,random_control,5,0.6291,0.6523,0.56,0.6364,0.0158,0.0692,-1.5231,0.179,0.179
topaneu_center1_mr_148,random_control,10,0.6291,0.6523,0.5963,0.6448,0.0075,0.0328,-1.6555,0.1604,0.1604
topaneu_center1_mr_177,gradcam,1,-0.9764,0.2736,-0.9409,0.2807,-0.0071,-0.0355,-0.6357,0.3462,0.3462
topaneu_center1_mr_177,gradcam,5,-0.9764,0.2736,-1.0256,0.2639,0.0097,0.0492,-1.2494,0.2228,0.2228
topaneu_center1_mr_177,gradcam,10,-0.9764,0.2736,0.0597,0.5149,-0.2413,-1.0361,-0.8591,0.2975,0.2975
topaneu_center1_mr_177,cross_attention,1,-0.9764,0.2736,2.2976,0.9087,-0.6351,-3.274,0.2228,0.5555,0.5555
topaneu_center1_mr_177,cross_attention,5,-0.9764,0.2736,-1.4416,0.1913,0.0823,0.4652,-0.2998,0.4256,0.4256
topaneu_center1_mr_177,cross_attention,10,-0.9764,0.2736,-0.5662,0.3621,-0.0885,-0.4102,-0.6315,0.3472,0.3472
topaneu_center1_mr_177,integrated_gradients,1,-0.9764,0.2736,1.5352,0.8228,-0.5492,-2.5116,1.6095,0.8333,0.8333
topaneu_center1_mr_177,integrated_gradients,5,-0.9764,0.2736,-1.3777,0.2014,0.0722,0.4013,0.7314,0.6751,0.6751
topaneu_center1_mr_177,integrated_gradients,10,-0.9764,0.2736,0.4055,0.6,-0.3264,-1.3819,1.2182,0.7717,0.7717
topaneu_center1_mr_177,random_control,1,-0.9764,0.2736,-0.8651,0.2963,-0.0227,-0.1113,-1.3615,0.204,0.204
topaneu_center1_mr_177,random_control,5,-0.9764,0.2736,-0.6624,0.3402,-0.0666,-0.314,-1.6024,0.1677,0.1677
topaneu_center1_mr_177,random_control,10,-0.9764,0.2736,-0.557,0.3642,-0.0906,-0.4194,-0.2699,0.4329,0.4329
topaneu_center1_mr_184,gradcam,1,-1.1655,0.2377,-0.7599,0.3187,-0.081,-0.4056,-1.8405,0.137,0.137
topaneu_center1_mr_184,gradcam,5,-1.1655,0.2377,-0.482,0.3818,-0.1441,-0.6836,-0.9254,0.2839,0.2839
topaneu_center1_mr_184,gradcam,10,-1.1655,0.2377,-0.4843,0.3812,-0.1436,-0.6812,0.2078,0.5518,0.5518
topaneu_center1_mr_184,cross_attention,1,-1.1655,0.2377,-0.3446,0.4147,-0.177,-0.8209,-1.8412,0.1369,0.1369
topaneu_center1_mr_184,cross_attention,5,-1.1655,0.2377,-0.8671,0.2959,-0.0582,-0.2984,-1.5996,0.168,0.168
topaneu_center1_mr_184,cross_attention,10,-1.1655,0.2377,-0.3483,0.4138,-0.1761,-0.8172,-0.9416,0.2806,0.2806
topaneu_center1_mr_184,integrated_gradients,1,-1.1655,0.2377,1.8691,0.8663,-0.6287,-3.0346,-0.2695,0.433,0.433
topaneu_center1_mr_184,integrated_gradients,5,-1.1655,0.2377,-0.7883,0.3125,-0.0749,-0.3772,0.9821,0.7275,0.7275
topaneu_center1_mr_184,integrated_gradients,10,-1.1655,0.2377,-1.8522,0.1356,0.1021,0.6867,-0.3975,0.4019,0.4019
topaneu_center1_mr_184,random_control,1,-1.1655,0.2377,-1.237,0.225,0.0127,0.0715,-1.678,0.1574,0.1574
topaneu_center1_mr_184,random_control,5,-1.1655,0.2377,-1.1934,0.2326,0.005,0.0279,-0.7577,0.3191,0.3191
topaneu_center1_mr_184,random_control,10,-1.1655,0.2377,-0.7939,0.3113,-0.0737,-0.3716,0.421,0.6037,0.6037
topaneu_center1_mr_191,gradcam,1,0.5334,0.6303,0.5031,0.6232,0.0071,0.0303,0.6109,0.6481,0.6481
topaneu_center1_mr_191,gradcam,5,0.5334,0.6303,0.4311,0.6061,0.0241,0.1023,-0.7342,0.3243,0.3243
topaneu_center1_mr_191,gradcam,10,0.5334,0.6303,0.3796,0.5938,0.0365,0.1538,-0.7962,0.3108,0.3108
topaneu_center1_mr_191,cross_attention,1,0.5334,0.6303,-1.4578,0.1888,0.4415,1.9911,-0.1667,0.4584,0.4584
topaneu_center1_mr_191,cross_attention,5,0.5334,0.6303,0.0934,0.5233,0.1069,0.44,0.4171,0.6028,0.6028
topaneu_center1_mr_191,cross_attention,10,0.5334,0.6303,0.6546,0.658,-0.0278,-0.1212,-0.4592,0.3872,0.3872
topaneu_center1_mr_191,integrated_gradients,1,0.5334,0.6303,-1.4624,0.1881,0.4422,1.9958,0.0831,0.5208,0.5208
topaneu_center1_mr_191,integrated_gradients,5,0.5334,0.6303,0.451,0.6109,0.0194,0.0824,0.3233,0.5801,0.5801
topaneu_center1_mr_191,integrated_gradients,10,0.5334,0.6303,-0.7166,0.3281,0.3021,1.25,1.2365,0.775,0.775
topaneu_center1_mr_191,random_control,1,0.5334,0.6303,0.4655,0.6143,0.016,0.0679,-1.7253,0.1512,0.1512
topaneu_center1_mr_191,random_control,5,0.5334,0.6303,0.3598,0.589,0.0413,0.1736,0.0196,0.5049,0.5049
topaneu_center1_mr_191,random_control,10,0.5334,0.6303,0.4025,0.5993,0.031,0.1309,-0.9881,0.2713,0.2713
topaneu_center1_mr_198,gradcam,1,4.5555,0.9896,4.5837,0.9899,-0.0003,-0.0282,-0.6426,0.3447,0.3447
topaneu_center1_mr_198,gradcam,5,4.5555,0.9896,4.5026,0.989,0.0006,0.0529,3.0166,0.9533,0.9533
topaneu_center1_mr_198,gradcam,10,4.5555,0.9896,4.5611,0.9897,-0.0001,-0.0056,-1.2048,0.2306,0.2306
